neighborhood_municipality,indv_tested,cases,deaths,update_date
Northview Heights (Pittsburgh),208,17,3,2020-10-26
O'Hara,1675,97,1,2020-10-26
Oakdale,223,12,0,2020-10-26
Oakmont,2256,81,0,2020-10-26
Oakwood (Pittsburgh),113,6,0,2020-10-26
Ohio,968,54,0,2020-10-26
Overbrook (Pittsburgh),514,36,1,2020-10-26
Penn Hills,6497,436,7,2020-10-26
Pennsbury Village,123,8,0,2020-10-26
Perry North (Pittsburgh),703,57,1,2020-10-26
Perry South (Pittsburgh),797,72,0,2020-10-26
Pine,2203,132,1,2020-10-26
Pitcairn,409,29,2,2020-10-26
Pleasant Hills,1361,125,2,2020-10-26
Plum,3781,243,3,2020-10-26
Point Breeze (Pittsburgh),1099,31,1,2020-10-26
Point Breeze North (Pittsburgh),407,24,0,2020-10-26
Polish Hill (Pittsburgh),228,3,0,2020-10-26
Port Vue,496,36,1,2020-10-26
Rankin,290,24,0,2020-10-26
Regent Square (Pittsburgh),195,5,1,2020-10-26
Reserve,444,35,2,2020-10-26
Richland,1827,169,31,2020-10-26
Ridgemont (Pittsburgh),378,2,0,2020-10-26
Robinson,2304,157,2,2020-10-26
Ross,5206,452,41,2020-10-26
Rosslyn Farms,42,3,0,2020-10-26
Scott,3119,309,16,2020-10-26
Sewickley,484,36,0,2020-10-26
Sewickley Heights,2768,16,0,2020-10-26
Sewickley Hills,85,4,0,2020-10-26
Shadyside (Pittsburgh),2864,206,14,2020-10-26
Shaler,3767,245,3,2020-10-26
Sharpsburg,538,26,1,2020-10-26
Sheraden (Pittsburgh),711,51,1,2020-10-26
South Fayette,2130,190,4,2020-10-26
South Oakland (Pittsburgh),539,85,1,2020-10-26
South Park,1629,119,0,2020-10-26
South Shore (Pittsburgh),49,3,0,2020-10-26
South Versailles,52,4,0,2020-10-26
Southside Flats (Pittsburgh),2290,220,0,2020-10-26
Southside Slopes (Pittsburgh),647,75,0,2020-10-26
Spring Garden (Pittsburgh),121,5,0,2020-10-26
Spring Hill-City View (Pittsburgh),487,30,0,2020-10-26
Springdale Borough,470,14,1,2020-10-26
Springdale Township,228,10,0,2020-10-26
Squirrel Hill North (Pittsburgh),3327,104,1,2020-10-26
Squirrel Hill South (Pittsburgh),3360,125,10,2020-10-26
St. Clair (Pittsburgh),23,0,0,2020-10-26
Stanton Heights (Pittsburgh),813,51,0,2020-10-26
Stowe,829,92,3,2020-10-26
Strip District (Pittsburgh),348,18,0,2020-10-26
Summer Hill (Pittsburgh),149,14,0,2020-10-26
Swisshelm Park (Pittsburgh),245,11,0,2020-10-26
Swissvale,1404,90,0,2020-10-26
Tarentum,614,23,1,2020-10-26
Terrace Village (Pittsburgh),283,30,0,2020-10-26
Thornburg,60,3,0,2020-10-26
Trafford,5,0,0,2020-10-26
Troy Hill (Pittsburgh),490,24,0,2020-10-26
Turtle Creek,865,64,6,2020-10-26
Undefined,1174,117,3,2020-10-26
Upper Hill (Pittsburgh),359,26,0,2020-10-26
Upper Lawrenceville (Pittsburgh),557,18,0,2020-10-26
Upper Saint Clair,3513,230,6,2020-10-26
Verona,381,18,0,2020-10-26
Versailles,226,25,0,2020-10-26
Wall,62,2,0,2020-10-26
West Deer,1724,57,0,2020-10-26
West Elizabeth,38,3,0,2020-10-26
West End (Pittsburgh),38,3,0,2020-10-26
West Homestead,277,30,0,2020-10-26
West Mifflin,2721,207,2,2020-10-26
West Oakland (Pittsburgh),640,49,1,2020-10-26
West View,906,46,0,2020-10-26
Westwood (Pittsburgh),465,57,0,2020-10-26
Whitaker,163,20,2,2020-10-26
White Oak,1059,65,2,2020-10-26
Whitehall,2418,376,7,2020-10-26
Wilkins,1017,52,0,2020-10-26
Wilkinsburg,2800,185,9,2020-10-26
Wilmerding,253,18,0,2020-10-26
Windgap (Pittsburgh),176,18,0,2020-10-26
